Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Огурец,8566,467,Овощи,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2015-02-06,2030-01-20,3.33,Out of Stock
2,Помело,9695,111,Фрукты,Прошел сертификацию на соответствие требованиям органических стандартов.,2017-09-15,2024-06-07,3.29,Returned
3,Айран,3544,318,Молочные продукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2010-09-01,2023-01-01,2.26,Awaiting Review
4,Кокос,4703,104,Фрукты,Подходит для использования в качестве замены традиционных молочных продуктов.,2006-04-16,2018-01-18,0.85,On Backorder
5,Ананас,8915,903,Фрукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2001-01-05,2029-03-13,2.89,Awaiting Review
6,Орегано сушеный,8428,819,Бакалея,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2016-07-24,2030-01-07,3.09,Backorder
7,Боржоми,4776,829,Напитки,Отличается низкой калорийностью и высоким содержанием белка.,1996-03-05,2003-05-22,1.51,Sold
8,Засоленное мясо,9107,141,Мясо,Часто рекомендуется врачами-диетологами как часть здорового питания.,1996-02-21,2027-02-09,2.33,In Stock
9,Шубат,4042,658,Молочные продукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2005-02-19,2026-04-04,2.51,Delivered
10,Топинамбур,7677,969,Овощи,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2013-07-14,2029-07-04,0.54,On Backorder
11,Каша из дробленной перловой крупы,681,914,Бакалея,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2000-10-01,2018-01-01,4.91,Shipping
12,Укроп,453,889,Овощи,Помогает нормализовать артериальное давление и уровень холестерина.,1991-02-05,2023-06-20,2.11,Shipping
13,Пакеты для Дня космонавтики,1075,948,Товары для дома,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2000-02-03,2008-06-01,2.57,Refunded
14,Шейка,3510,538,Мясо,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2000-05-11,2028-04-06,4.63,Cancelled
15,Лук-порей,3144,219,Овощи,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2000-04-04,2013-06-06,4.22,Awaiting Review
16,Консервированные бобы,6284,360,Бакалея,"Подходит для людей всех возрастов, включая детей и пожилых.",2004-03-19,2022-01-14,3.71,Sold
17,Ополаскиватель для полости рта,3179,97,Товары для дома,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2008-01-05,2012-03-06,4.68,Temporarily Unavailable
18,Буженина,4812,274,Мясо,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2020-05-06,2026-04-04,2.83,Out of Stock
19,Чувашская,4441,327,Напитки,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",1990-05-01,1991-03-11,0.8,Sold
20,Пакеты для растений,5907,995,Товары для дома,Придает блюдам особую нежность и насыщенность.,2014-03-02,2030-01-09,1.93,Out of Stock
21,Мандарин,2675,383,Фрукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2011-01-16,2030-09-02,2.2,Refunded
22,Пакеты для библиотеки,762,918,Товары для дома,Может использоваться в косметических процедурах для увлажнения кожи.,2009-01-01,2021-01-22,4.25,Available for Pickup
23,Абрикос,3056,194,Фрукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2010-02-07,2014-01-23,1.94,Delivered
24,Каша из дробленой булгура,9140,563,Бакалея,Прошел строгий контроль качества на всех этапах производства.,1995-04-02,1998-11-03,1.83,Available for Pickup
25,Моющее средство для стекол,4524,696,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2020-03-04,2027-02-05,2.48,Returned
26,Бадьян,1776,11,Бакалея,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2018-04-05,2025-07-03,0.12,Awaiting Payment
27,Российский сыр,1530,298,Молочные продукты,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2016-01-01,2019-01-07,3.05,Out of Stock
28,Телятина,9247,707,Мясо,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2012-03-05,2019-01-05,3.84,Backorder
29,Катык,5626,529,Молочные продукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2009-01-21,2027-02-01,3.61,Out of Stock
30,Нижнесергиевская,4166,717,Напитки,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2006-02-17,2027-04-02,3.63,Shipping
31,Сметана,3292,785,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1994-01-10,2013-01-07,4.64,Awaiting Payment
32,Куриные грудки,9199,617,Мясо,Помогает поддерживать здоровый цвет лица и упругость кожи.,1997-02-04,2028-04-02,1.18,Delivered
33,Простокваша,7531,723,Молочные продукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2012-05-02,2018-03-08,3.26,Available for Pickup
34,Укроп сушеный,1400,476,Бакалея,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2004-02-01,2017-01-02,3.09,Refunded
35,Серебряный ключ,1540,403,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2008-01-01,2013-04-11,0.07,In Stock
36,Кокос,500,902,Фрукты,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",1994-08-08,2009-08-08,0.15,Awaiting Payment
37,Авокадо,3692,994,Фрукты,Помогает поддерживать нормальный уровень энергии и выносливости.,2020-02-08,2030-05-05,3.8,Pending
38,Киноа,2039,150,Бакалея,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",1997-01-05,2011-01-25,4.49,Refunded
39,Pepsi Max,2123,136,Напитки,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2000-01-16,2003-02-11,4.83,Refunded
40,Шпинат,2258,415,Овощи,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2005-02-19,2028-04-09,1.66,Available for Pickup
41,Каша из дробленой пшеницы,452,889,Бакалея,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",1995-03-01,2029-05-01,1.18,Refunded
42,Авокадо,8072,262,Фрукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1991-01-14,2009-05-13,4.56,Temporarily Unavailable
43,Пакеты для пляжа,1843,570,Товары для дома,Придает блюдам особую нежность и насыщенность.,1994-08-09,2016-04-23,1.91,Temporarily Unavailable
44,Топлёное молоко,7981,247,Молочные продукты,Отличается хорошим сочетанием с различными специями и приправами.,1995-02-02,2016-03-01,3.39,Awaiting Review
45,Азовская,8398,945,Напитки,Подходит для использования в качестве основы для смузи и коктейлей.,2012-10-03,2014-09-01,3.7,Awaiting Payment
46,Цветная капуста,5965,798,Овощи,Способствует улучшению работы пищеварительной системы.,2022-01-04,2022-03-04,4.53,Shipping
47,Пакеты для Дня Победы,2864,512,Товары для дома,Помогает сохранять бодрость и активность в течение дня.,1992-02-05,2002-04-01,3.01,Backorder
48,Цукини,3298,814,Овощи,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2001-01-26,2020-02-14,3.71,Out of Stock
