product_id,name,price,quantity,category,production_date,expiration_date,rating,status
1,Капучино,6180,165,Напитки,2020-04-05,2026-01-05,0.03,In Stock
3,Каша из пшеницы спельты,2730,551,Бакалея,2006-02-14,2008-03-01,0.35,New
4,Цветная капуста,6631,19,Овощи,2008-01-15,2018-05-16,1.02,Returned
5,Пармезан,2373,125,Молочные продукты,2002-02-03,2028-08-12,3.81,Sold
7,Куриные бедра,588,897,Мясо,2002-04-03,2014-03-06,4.31,Pending
8,Глинтвейн,3331,104,Напитки,2017-01-03,2027-06-15,4.79,Refunded
10,Пакеты для спортивного инвентаря,3887,493,Товары для дома,2010-02-07,2017-02-09,3.72,Awaiting Payment
11,Мягкие игрушки,768,970,Товары для дома,2010-08-01,2024-01-12,4.23,Refunded
12,Цукини,2181,870,Овощи,1992-03-02,2005-04-12,2.42,Awaiting Payment
14,Каша из киноа,1630,87,Бакалея,2016-01-03,2030-02-01,1.97,Cancelled
16,Цветная капуста,1998,852,Овощи,2017-08-03,2017-09-25,1.24,Awaiting Review
17,Репа,3015,127,Овощи,1992-03-04,2018-06-04,1.59,Shipping
18,Пакет для хранения продуктов,2633,849,Товары для дома,1992-03-11,2015-01-06,3.74,Backorder
19,Манго,6349,625,Фрукты,1996-08-07,2027-01-12,0.22,Returned
20,Пакеты для спортивного инвентаря,4354,867,Товары для дома,1993-04-12,1995-07-07,4.87,Temporarily Unavailable
22,Доктор Пеппер,6057,937,Напитки,2006-03-01,2026-01-04,4.04,Pending
25,Свекла,5750,963,Овощи,2009-07-02,2014-10-02,1.44,Sold
27,Бритвенный станок,1293,938,Товары для дома,2021-02-02,2025-04-12,1.79,Sold
28,Кефир,5631,45,Напитки,2007-08-16,2027-03-01,3.85,On Backorder
29,Каша из поленты,6127,607,Бакалея,1993-03-11,2029-03-08,2.94,Delivered
30,Пакеты для Всемирного дня театра,5039,88,Товары для дома,2000-06-05,2021-03-01,3.74,Delivered
31,Сало,4247,206,Мясо,2002-04-02,2027-01-11,3.78,Delivered
32,Растительное масло тыквенное,4251,3,Бакалея,2007-06-01,2025-01-08,2.74,Returned
33,Чеснок,6077,295,Овощи,2018-05-09,2029-05-17,2.67,Pending
35,Соус соевый,2255,492,Бакалея,2002-07-08,2012-07-06,4.02,Sold
