product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Капучино,6180,165,Напитки,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2020-04-05,2026-01-05,0.03,In Stock
2,Кастрюли,7638,273,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,1996-08-22,2002-01-02,4.32,Cancelled
3,Каша из пшеницы спельты,2730,551,Бакалея,Помогает поддерживать нормальный уровень электролитов в организме.,2006-02-14,2008-03-01,0.35,New
4,Цветная капуста,6631,19,Овощи,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2008-01-15,2018-05-16,1.02,Returned
5,Пармезан,2373,125,Молочные продукты,Отличается гипоаллергенностью и безопасностью для большинства людей.,2002-02-03,2028-08-12,3.81,Sold
6,Пакеты для Дня учителя,9150,515,Товары для дома,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2018-04-01,2024-06-01,2.65,Awaiting Payment
7,Куриные бедра,588,897,Мясо,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2002-04-03,2014-03-06,4.31,Pending
8,Глинтвейн,3331,104,Напитки,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2017-01-03,2027-06-15,4.79,Refunded
9,Рамбутан,7844,113,Фрукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2003-04-03,2012-11-01,0.68,Awaiting Payment
10,Пакеты для спортивного инвентаря,3887,493,Товары для дома,Помогает поддерживать нормальный обмен веществ и метаболизм.,2010-02-07,2017-02-09,3.72,Awaiting Payment
11,Мягкие игрушки,768,970,Товары для дома,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2010-08-01,2024-01-12,4.23,Refunded
12,Цукини,2181,870,Овощи,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1992-03-02,2005-04-12,2.42,Awaiting Payment
13,Помело,9477,285,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2021-01-02,2022-05-09,4.27,Refunded
14,Каша из киноа,1630,87,Бакалея,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2016-01-03,2030-02-01,1.97,Cancelled
15,Тан,9423,32,Молочные продукты,Отличается низким содержанием насыщенных жиров и холестерина.,2005-05-05,2015-01-10,0.33,New
16,Цветная капуста,1998,852,Овощи,"Отличается приятным ароматом, который усиливает аппетит.",2017-08-03,2017-09-25,1.24,Awaiting Review
17,Репа,3015,127,Овощи,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,1992-03-04,2018-06-04,1.59,Shipping
18,Пакет для хранения продуктов,2633,849,Товары для дома,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1992-03-11,2015-01-06,3.74,Backorder
19,Манго,6349,625,Фрукты,Помогает поддерживать нормальный уровень гемоглобина в крови.,1996-08-07,2027-01-12,0.22,Returned
20,Пакеты для спортивного инвентаря,4354,867,Товары для дома,Помогает сохранять бодрость и активность в течение дня.,1993-04-12,1995-07-07,4.87,Temporarily Unavailable
21,Каша из дробленой кукурузы,7977,141,Бакалея,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2019-03-04,2029-03-14,4.83,Sold
22,Доктор Пеппер,6057,937,Напитки,Прошел сертификацию на соответствие требованиям органических стандартов.,2006-03-01,2026-01-04,4.04,Pending
23,Пакеты для заморозки,9283,772,Товары для дома,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2019-03-04,2026-07-01,1.79,Refunded
24,Уксус,7114,360,Бакалея,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2012-01-09,2026-01-20,1.1,Sold
25,Свекла,5750,963,Овощи,Придает блюдам особую нежность и насыщенность.,2009-07-02,2014-10-02,1.44,Sold
26,Доски разделочные,8982,843,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,2001-03-12,2019-03-01,1.58,Delivered
27,Бритвенный станок,1293,938,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2021-02-02,2025-04-12,1.79,Sold
28,Кефир,5631,45,Напитки,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2007-08-16,2027-03-01,3.85,On Backorder
29,Каша из поленты,6127,607,Бакалея,Помогает предотвратить дефицит витаминов и минералов в организме.,1993-03-11,2029-03-08,2.94,Delivered
30,Пакеты для Всемирного дня театра,5039,88,Товары для дома,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2000-06-05,2021-03-01,3.74,Delivered
31,Сало,4247,206,Мясо,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2002-04-02,2027-01-11,3.78,Delivered
32,Растительное масло тыквенное,4251,3,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2007-06-01,2025-01-08,2.74,Returned
33,Чеснок,6077,295,Овощи,Отличается высоким уровнем биологической доступности питательных веществ.,2018-05-09,2029-05-17,2.67,Pending
34,Курт,8740,300,Молочные продукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2017-01-01,2024-08-05,3.35,On Backorder
35,Соус соевый,2255,492,Бакалея,Может быть использован в выпечке для придания ей особой пышности и аромата.,2002-07-08,2012-07-06,4.02,Sold
36,Пельмени,7787,913,Мясо,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2000-02-03,2030-06-02,4.18,Shipping
37,Пастила,2885,983,Бакалея,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2007-01-04,2015-03-15,2.64,Temporarily Unavailable
38,Дыня,9466,924,Фрукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2001-01-15,2014-03-06,1.31,Pending
39,Цветная капуста,367,658,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2012-01-04,2014-08-09,1.32,Out of Stock
40,Туалетная бумага,2962,972,Товары для дома,Является важным компонентом сбалансированного рациона питания.,2010-01-01,2025-09-22,4.85,Awaiting Review
